iteration,k_offload,potential,system_total_cost,changed
0,42,209.14844659834264,210.03238758994223,0
1,42,209.14844659834264,210.03238758994223,0
2,42,209.14844659834264,210.03238758994223,1
3,43,208.57677049265413,209.5818163442835,1
4,44,207.43249840301297,208.57436138912192,0
5,44,207.43249840301297,208.57436138912192,1
6,45,206.28973768033603,207.5861008128714,0
7,45,206.28973768033603,207.5861008128714,0
8,45,206.28973768033603,207.5861008128714,1
9,46,205.7370746326626,207.20783314035452,0
10,46,205.7370746326626,207.20783314035452,0
11,46,205.7370746326626,207.20783314035452,0
12,46,205.7370746326626,207.20783314035452,1
13,47,205.09180037710644,206.759332211083,0
14,47,205.09180037710644,206.759332211083,1
15,48,202.01391485132805,203.90338365152562,0
16,48,202.01391485132805,203.90338365152562,1
17,49,200.8667979135634,203.0064922717549,0
18,49,200.8667979135634,203.0064922717549,1
19,50,200.03054757558047,202.45226087863068,0
20,50,200.03054757558047,202.45226087863068,1
21,51,199.2910965287111,202.03055216521705,0
22,51,199.2910965287111,202.03055216521705,1
23,52,198.569107017153,201.66643428786972,0
24,52,198.569107017153,201.66643428786972,0
25,52,198.569107017153,201.66643428786972,1
26,53,197.57619967399148,201.07646636799387,0
27,53,197.57619967399148,201.07646636799387,1
28,54,196.3796274972444,200.33343578899144,1
29,55,195.85761726130855,200.3217703568616,1
30,56,194.93848955576584,199.97673737849698,0
31,56,194.93848955576584,199.97673737849698,1
32,57,194.4728908742347,200.15676404161485,1
33,58,193.50624896312624,199.91599137792906,1
34,59,191.37500709499423,198.60061866910164,0
35,59,191.37500709499423,198.60061866910164,0
36,59,191.37500709499423,198.60061866910164,1
37,60,190.490859609314,198.63326197029747,0
38,60,190.490859609314,198.63326197029747,1
39,61,188.8658777428743,198.03821725828877,0
40,61,188.8658777428743,198.03821725828877,0
41,61,188.8658777428743,198.03821725828877,1
42,62,188.47074811932097,198.79985222858144,0
43,62,188.47074811932097,198.79985222858144,0
44,62,188.47074811932097,198.79985222858144,0
45,62,188.47074811932097,198.79985222858144,0
46,62,188.47074811932097,198.79985222858144,1
47,63,187.69056850510515,199.31857319329396,0
48,63,187.69056850510515,199.31857319329396,1
49,64,187.36108990065685,200.44725820419686,1
50,65,186.742071832305,201.4648255571308,1
51,66,186.3515288424917,202.91071822787808,0
52,66,186.3515288424917,202.91071822787808,0
53,66,186.3515288424917,202.91071822787808,0
54,66,186.3515288424917,202.91071822787808,0
55,66,186.3515288424917,202.91071822787808,1
56,67,185.61820175449526,204.23764065979276,0
57,67,185.61820175449526,204.23764065979276,0
58,67,185.61820175449526,204.23764065979276,1
59,68,185.01225398008887,205.94255134036794,0
60,68,185.01225398008887,205.94255134036794,1
61,69,183.6773042779033,207.1990261047506,0
62,69,183.6773042779033,207.1990261047506,0
63,69,183.6773042779033,207.1990261047506,0
64,69,183.6773042779033,207.1990261047506,1
65,70,182.87446295701605,209.30166309344682,0
66,70,182.87446295701605,209.30166309344682,0
67,70,182.87446295701605,209.30166309344682,0
68,70,182.87446295701605,209.30166309344682,0
69,70,182.87446295701605,209.30166309344682,0
70,70,182.87446295701605,209.30166309344682,0
71,70,182.87446295701605,209.30166309344682,0
72,70,182.87446295701605,209.30166309344682,0
73,70,182.87446295701605,209.30166309344682,0
74,70,182.87446295701605,209.30166309344682,1
75,71,182.7152607769946,212.39942299625483,0
76,71,182.7152607769946,212.39942299625483,0
77,71,182.7152607769946,212.39942299625483,0
78,71,182.7152607769946,212.39942299625483,1
79,72,182.6014709448383,215.9359098625212,0
80,72,182.6014709448383,215.9359098625212,0
81,72,182.6014709448383,215.9359098625212,0
82,72,182.6014709448383,215.9359098625212,0
83,72,182.6014709448383,215.9359098625212,0
84,72,182.6014709448383,215.9359098625212,0
85,72,182.6014709448383,215.9359098625212,0
86,72,182.6014709448383,215.9359098625212,1
87,73,182.1276024291567,219.55237613302097,1
88,74,181.6605095251343,223.66790288011924,0
89,74,181.6605095251343,223.66790288011924,0
90,74,181.6605095251343,223.66790288011924,0
91,74,181.6605095251343,223.66790288011924,0
92,74,181.6605095251343,223.66790288011924,0
93,74,181.6605095251343,223.66790288011924,0
94,74,181.6605095251343,223.66790288011924,1
95,73,181.60226909582335,219.02704279968762,1
96,72,181.59880427817163,214.93324319585457,0
97,72,181.59880427817163,214.93324319585457,0
98,72,181.59880427817163,214.93324319585457,0
99,72,181.59880427817163,214.93324319585457,0
100,72,181.59880427817163,214.93324319585457,0
101,72,181.59880427817163,214.93324319585457,0
102,72,181.59880427817163,214.93324319585457,0
103,72,181.59880427817163,214.93324319585457,0
104,72,181.59880427817163,214.93324319585457,0
105,72,181.59880427817163,214.93324319585457,0
106,72,181.59880427817163,214.93324319585457,1
107,73,181.4560468736011,218.88082057746539,0
108,73,181.4560468736011,218.88082057746539,0
109,73,181.4560468736011,218.88082057746539,0
110,73,181.4560468736011,218.88082057746539,0
111,73,181.4560468736011,218.88082057746539,0
112,73,181.4560468736011,218.88082057746539,0
113,73,181.4560468736011,218.88082057746539,0
114,73,181.4560468736011,218.88082057746539,0
115,73,181.4560468736011,218.88082057746539,1
116,74,180.6718428584676,222.67923621345255,0
117,74,180.6718428584676,222.67923621345255,0
118,74,180.6718428584676,222.67923621345255,1
119,75,178.90945154415834,226.05009587124982,1
120,76,178.3957143366156,231.28541667119757,1
121,75,178.3692293219361,225.50987364902758,0
122,75,178.3692293219361,225.50987364902758,1
123,74,178.32850952513425,220.3359028801192,0
124,74,178.32850952513425,220.3359028801192,0
