iteration,k_offload,potential,system_total_cost_normalized,vram_load_fraction,changed
0,51,255.97108013208074,257.98542394133244,0.73375,0
1,51,255.97108013208074,257.98542394133244,0.73375,1
2,52,255.36272226034438,257.7181234319636,0.74625,0
3,52,255.36272226034438,257.7181234319636,0.74625,0
4,52,255.36272226034438,257.7181234319636,0.74625,0
5,52,255.36272226034438,257.7181234319636,0.74625,1
6,53,254.9255627019046,257.72182351189986,0.7599999999999999,0
7,53,254.9255627019046,257.72182351189986,0.7599999999999999,0
8,53,254.9255627019046,257.72182351189986,0.7599999999999999,0
9,53,254.9255627019046,257.72182351189986,0.7599999999999999,0
10,53,254.9255627019046,257.72182351189986,0.7599999999999999,1
11,54,254.62550634536777,258.04769692255724,0.77625,1
12,55,254.10709802914621,258.22989257017247,0.79125,0
13,55,254.10709802914621,258.22989257017247,0.79125,1
14,54,253.97779080857376,257.2460731185597,0.7725000000000001,1
15,55,252.79372613500377,256.6121345149884,0.785,0
16,55,252.79372613500377,256.6121345149884,0.785,0
17,55,252.79372613500377,256.6121345149884,0.785,1
18,56,252.20385880438616,256.66380293022104,0.7975,0
19,56,252.20385880438616,256.66380293022104,0.7975,0
20,56,252.20385880438616,256.66380293022104,0.7975,1
21,55,251.78878193816365,255.32514500121377,0.7787499999999999,1
22,56,250.957290700206,255.08822931500407,0.7912499999999999,0
23,56,250.957290700206,255.08822931500407,0.7912499999999999,0
24,56,250.957290700206,255.08822931500407,0.7912499999999999,1
25,57,250.4055702287838,255.22978678168852,0.80375,0
26,57,250.4055702287838,255.22978678168852,0.80375,1
27,58,249.6827061506509,255.31509804811608,0.8162499999999999,0
28,58,249.6827061506509,255.31509804811608,0.8162499999999999,0
29,58,249.6827061506509,255.31509804811608,0.8162499999999999,0
30,58,249.6827061506509,255.31509804811608,0.8162499999999999,0
31,58,249.6827061506509,255.31509804811608,0.8162499999999999,1
32,59,249.05104174156617,255.62533203500567,0.82875,0
33,59,249.05104174156617,255.62533203500567,0.82875,0
34,59,249.05104174156617,255.62533203500567,0.82875,0
35,59,249.05104174156617,255.62533203500567,0.82875,0
36,59,249.05104174156617,255.62533203500567,0.82875,1
37,60,248.68252227614627,256.35431400636526,0.8412499999999999,0
38,60,248.68252227614627,256.35431400636526,0.8412499999999999,0
39,60,248.68252227614627,256.35431400636526,0.8412499999999999,0
40,60,248.68252227614627,256.35431400636526,0.8412499999999999,1
41,61,247.98789780061676,256.93821983069137,0.8537499999999999,0
42,61,247.98789780061676,256.93821983069137,0.8537499999999999,0
43,61,247.98789780061676,256.93821983069137,0.8537499999999999,1
44,62,247.26883686932047,257.7082597486899,0.86625,1
45,63,246.07782721763257,258.25124009803875,0.87875,0
46,63,246.07782721763257,258.25124009803875,0.87875,1
47,64,245.43736862947765,259.6295227035389,0.89125,1
48,63,245.42016307745735,256.2027223024041,0.86875,0
49,63,245.42016307745735,256.2027223024041,0.86875,0
50,63,245.42016307745735,256.2027223024041,0.86875,0
51,63,245.42016307745735,256.2027223024041,0.86875,1
52,64,245.25508847408355,257.8276439772985,0.88125,0
53,64,245.25508847408355,257.8276439772985,0.88125,1
54,63,245.23449712344595,255.6935002608971,0.86625,0
55,63,245.23449712344595,255.6935002608971,0.86625,1
56,64,244.64380121169864,256.8395725335745,0.87875,1
57,65,244.27812556771528,258.4958241847033,0.89125,1
58,64,243.86143598162727,255.16528942773488,0.8724999999999999,0
59,64,243.86143598162727,255.16528942773488,0.8724999999999999,0
60,64,243.86143598162727,255.16528942773488,0.8724999999999999,0
61,64,243.86143598162727,255.16528942773488,0.8724999999999999,1
62,65,243.81500396163145,257.401031575087,0.8875000000000001,0
63,65,243.81500396163145,257.401031575087,0.8875000000000001,0
64,65,243.81500396163145,257.401031575087,0.8875000000000001,0
65,65,243.81500396163145,257.401031575087,0.8875000000000001,1
66,66,243.02961173698301,258.8654037625757,0.9,1
67,65,242.40107122175218,254.9944198420674,0.88125,0
68,65,242.40107122175218,254.9944198420674,0.88125,0
69,65,242.40107122175218,254.9944198420674,0.88125,0
70,65,242.40107122175218,254.9944198420674,0.88125,0
71,65,242.40107122175218,254.9944198420674,0.88125,0
72,65,242.40107122175218,254.9944198420674,0.88125,0
73,65,242.40107122175218,254.9944198420674,0.88125,1
74,66,242.2230260790841,257.35589434269053,0.89625,0
75,66,242.2230260790841,257.35589434269053,0.89625,1
76,65,241.51992847446732,253.55332810311734,0.8775,0
77,65,241.51992847446732,253.55332810311734,0.8775,0
78,65,241.51992847446732,253.55332810311734,0.8775,0
79,65,241.51992847446732,253.55332810311734,0.8775,0
80,65,241.51992847446732,253.55332810311734,0.8775,0
81,65,241.51992847446732,253.55332810311734,0.8775,0
82,65,241.51992847446732,253.55332810311734,0.8775,1
83,66,241.5084228540456,256.19026891638174,0.8937499999999999,0
84,66,241.5084228540456,256.19026891638174,0.8937499999999999,0
85,66,241.5084228540456,256.19026891638174,0.8937499999999999,1
86,65,240.85724970479012,252.531394193427,0.875,0
87,65,240.85724970479012,252.531394193427,0.875,0
88,65,240.85724970479012,252.531394193427,0.875,0
89,65,240.85724970479012,252.531394193427,0.875,0
90,65,240.85724970479012,252.531394193427,0.875,0
91,65,240.85724970479012,252.531394193427,0.875,0
92,65,240.85724970479012,252.531394193427,0.875,0
93,65,240.85724970479012,252.531394193427,0.875,0
94,65,240.85724970479012,252.531394193427,0.875,0
95,65,240.85724970479012,252.531394193427,0.875,0
96,65,240.85724970479012,252.531394193427,0.875,1
97,64,240.3174357472487,249.5958020530683,0.85625,0
98,64,240.3174357472487,249.5958020530683,0.85625,0
99,64,240.3174357472487,249.5958020530683,0.85625,0
100,64,240.3174357472487,249.5958020530683,0.85625,0
101,64,240.3174357472487,249.5958020530683,0.85625,1
102,65,239.43554576575352,250.25586489911345,0.86875,1
103,66,238.79376351356328,251.4094225440036,0.88125,0
104,66,238.79376351356328,251.4094225440036,0.88125,0
105,66,238.79376351356328,251.4094225440036,0.88125,0
106,66,238.79376351356328,251.4094225440036,0.88125,0
107,66,238.79376351356328,251.4094225440036,0.88125,0
108,66,238.79376351356328,251.4094225440036,0.88125,0
109,66,238.79376351356328,251.4094225440036,0.88125,0
110,66,238.79376351356328,251.4094225440036,0.88125,0
111,66,238.79376351356328,251.4094225440036,0.88125,0
112,66,238.79376351356328,251.4094225440036,0.88125,0
113,66,238.79376351356328,251.4094225440036,0.88125,0
114,66,238.79376351356328,251.4094225440036,0.88125,0
115,66,238.79376351356328,251.4094225440036,0.88125,0
116,66,238.79376351356328,251.4094225440036,0.88125,0
117,66,238.79376351356328,251.4094225440036,0.88125,0
