iteration,node,k_without_i,candidate_k,vram_without_i_fraction,candidate_vram_fraction,center_compute_cost,queue_cost,memory_barrier_increment,center_cost_increment,llm_center_cost_raw,verified_center_cost_increment,llm_numeric_within_tolerance,state_hash,state_reused_in_experiment,persistent_cache_hit,compute_impact,vram_impact,semantic_warning,model,latency_ms,resolved_model,prompt_tokens,completion_tokens,total_tokens,attempts,parse_ok
0,83,50,51,0.72125,0.7337499999999999,1.0,0.21375236392965494,0.03981230254260665,1.2535646664722617,1.2535646664722615,1.2535646664722617,1,7508fd515423f8b82aab24b318ea3f6226b2c33af976c4a6bc4aadbbd3193bd0,0,1,0.02,0.0125,TXT_2_IMG task with 30 steps and 1 image; prompt length 7 chars; no negative prompt; no LoRA; observed exec time 18.0s; local energy 2.2 normalized; tx energy 0.164; local energy mJ 324000; tx energy mJ 0.203; congestion increase from 50 to 51; vram increase from 0.72125 to 0.73375,deepseek-chat,1778.0473330058157,deepseek-v4-flash,345,147,492,1,True
1,14,51,52,0.73375,0.74625,0.9444444444444444,0.21376598548219666,0.04568693128772294,1.2038973612143642,1.203897361214364,1.2038973612143642,1,aff892848d5eb6f38062e3227004eb50d3f9dece87e6918ab957a572abce956d,0,1,0.9444444444444444,0.04568693128772294,High congestion; offloading may increase latency.,deepseek-chat,916.4367910125293,deepseek-v4-flash,347,68,415,1,True
2,36,51,52,0.73375,0.74625,1.5,0.21376598548219666,0.04568693128772294,1.7594529167699196,1.7594529167699196,1.7594529167699196,1,7a61ba1ed0b40d948dc5233204de5dd6e005ab97d7cb253c4e0a9ec43b9a41cd,0,1,0.0,0.0,none,deepseek-chat,1675.5041249562055,deepseek-v4-flash,345,52,397,1,True
3,92,51,52,0.73375,0.74625,0.5555555555555556,0.21376598548219666,0.04568693128772294,0.8150084723254752,0.8150084723254752,0.8150084723254752,1,634933ff17cec45bb0994a6c7ecf3a228b329d59424a19f1174d0a1eb3a4c9e5,0,1,0.5555555555555556,0.04568693128772294,High congestion: offloading may increase latency.,deepseek-chat,1542.9099170141853,deepseek-v4-flash,350,69,419,1,True
4,12,51,52,0.7312499999999998,0.7462499999999999,4.0,0.21376598548219666,0.05409368134770404,4.267859666829901,4.267859666829901,4.267859666829901,1,381aee5115998ad51fd9d49ac251aaaeefc8b02c0affb149ba3284d03236165f,0,1,0.0,0.0,High congestion may cause delays,deepseek-chat,1391.266959020868,deepseek-v4-flash,345,55,400,1,True
5,6,52,53,0.74625,0.76,1.987031674251178,0.21377960877093927,0.05807912477712662,2.2588904077992438,2.258890407799244,2.2588904077992438,1,c4bc9b9364ed2702bcd81c268fed5585b25dacfbad57713dc05ccbdb5e603ba1,0,1,0.0192307692307692,0.0184210526315789,High congestion; offloading may increase latency.,deepseek-chat,1118.429207999725,deepseek-v4-flash,348,68,416,1,True
6,61,52,53,0.74375,0.76,2.1666666666666665,0.21377960877093927,0.06772635911963582,2.4481726345572414,2.4481726345572414,2.4481726345572414,1,4411b4a8e0c1248c3dabb0c9d7af51a43277f425d0b8e4e429e47b5382c96150,0,1,0.0,0.0,,deepseek-chat,1153.213334036991,deepseek-v4-flash,345,50,395,1,True
7,41,53,54,0.7599999999999999,0.7787499999999999,4.1,0.21379323379621468,0.09479426277579384,4.408587496572007,4.408587496572008,4.408587496572007,1,99dda00035217e1ce30b11d73849b138c3a34636070c8cb679e27f135617e6fd,0,1,0.0,0.0,none,deepseek-chat,901.7482919734903,deepseek-v4-flash,341,51,392,1,True
8,4,52,53,0.7474999999999999,0.7599999999999999,1.2666666666666666,0.21377960877093927,0.05315500336632595,1.5336012788039317,1.5336012788039317,1.5336012788039317,1,3354288df101ba9f295e03cce5e1cc7532134c6de9151e991d2f5cf63ccc1d72,0,1,0.02,0.0125,"High congestion, consider offloading",deepseek-chat,1744.9646249879152,deepseek-v4-flash,353,58,411,1,True
9,65,53,54,0.7599999999999999,0.7787499999999999,2.7,0.21379323379621468,0.09479426277579384,3.0085874965720087,3.0085874965720083,3.0085874965720087,1,6f5d9dac3de617280afe5c7b4609a68b9dfc01d6567ac5389597842389b07621,0,1,0.0,0.0,TXT_2_IMG offloaded to congested node may cause high latency,deepseek-chat,1642.1706250403076,deepseek-v4-flash,344,67,411,1,True
10,58,53,54,0.7599999999999999,0.7762499999999999,1.9166666666666665,0.21379323379621468,0.08099623456004268,2.211456135022924,2.211456135022924,2.211456135022924,1,3f6eef80a2ee0275d92a60b6f76d019312b2376be75ed21fe47e6f0e68154ae5,0,1,0.018867924528301886,0.02138157894736842,High congestion; offloading may increase latency.,deepseek-chat,1605.86858401075,deepseek-v4-flash,350,68,418,1,True
11,19,54,55,0.77625,0.79125,3.25,0.21380686055835493,0.08878414800060636,3.552591008558961,3.552591008558961,3.552591008558961,1,3773a482fdf6d3e0a431d2bbfcff7bb1e3800de3327a91f84414a8ee4e973fbf,0,1,0.0,0.0,TXT_2_IMG task offloaded to node 19 with high congestion (55) and high VRAM load (79.1%). Consider local execution.,deepseek-chat,1157.3452079901472,deepseek-v4-flash,342,82,424,1,True
12,19,54,55,0.77625,0.79125,3.25,0.21380686055835493,0.08878414800060636,3.552591008558961,3.552591008558961,3.552591008558961,1,3773a482fdf6d3e0a431d2bbfcff7bb1e3800de3327a91f84414a8ee4e973fbf,1,1,0.0,0.0,TXT_2_IMG task offloaded to node 19 with high congestion (55) and high VRAM load (79.1%). Consider local execution.,deepseek-chat,1157.3452079901472,deepseek-v4-flash,342,82,424,1,True
13,32,54,55,0.7725000000000001,0.7912500000000001,3.6,0.21380686055835493,0.10878192652316993,3.9225887870815246,3.922588787081525,3.9225887870815246,1,ea66004021418b9572df5edba5fbb47f1f9c83c601c4a400552be10189745793,0,1,0.018518518518518517,0.024291497975708502,High congestion; offloading may increase latency.,deepseek-chat,1572.3452499951236,deepseek-v4-flash,342,68,410,1,True
14,3,54,55,0.7725000000000001,0.785,1.6666666666666667,0.21380686055835493,0.06999927388422383,1.9504728011092456,1.9504728011092456,1.9504728011092456,1,dc555dd3c4b3d14486a194c158ff6fcaea5d0d7a4898d4588ccbaef19b8b6054,0,1,0.018518518518518517,0.016181229773462782,High congestion; offloading may increase latency.,deepseek-chat,1653.8830409990624,deepseek-v4-flash,346,69,415,1,True
15,5,54,55,0.77,0.785,2.9166666666666665,0.21380686055835493,0.08287968373751076,3.213353210962532,3.213353210962532,3.213353210962532,1,57c09e127525db4ddc0678caad84ae72397bdb9e2b331547ad35411fe7df85c2,0,1,0.018518518518518517,0.01948051948051948,High congestion; offloading may increase latency.,deepseek-chat,1428.5077920067124,deepseek-v4-flash,348,68,416,1,True
16,98,55,56,0.785,0.8037500000000001,3.6,0.21382048905769221,0.12483358371677811,3.9386540727744705,3.93865407277447,3.9386540727744705,1,c7f42a63e0484095c9af98e8338d2eb6c9dd24893d8b479f3ff0d227e26dd937,0,1,0.0,0.0,,deepseek-chat,963.1500829709694,deepseek-v4-flash,344,50,394,1,True
17,90,55,56,0.785,0.7975,0.9444444444444444,0.21382048905769221,0.08032823554268231,1.2385931690448189,1.238593169044819,1.2385931690448189,1,b6a5b3bb165e83ac6b2e5b3683ad7a33fd90a88e4d2d5045df02500941fba0b0,0,1,0.9444444444444444,0.08032823554268231,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1272.5482090027072,deepseek-v4-flash,349,72,421,1,True
18,98,56,57,0.7975,0.81625,3.6,0.2138341192945587,0.1432537933611121,3.9570879126556706,3.957087912655671,3.9570879126556706,1,83f0701a2d90064b4e2464a3d6f50d5fad67ea6b631c3c7ba36111d74cf02903,0,1,0.0,0.0,Prompt length 6 chars is very short; negative prompt 26 chars may cause semantic drift.,deepseek-chat,1103.0153330066241,deepseek-v4-flash,345,68,413,1,True
19,62,55,56,0.785,0.7975,1.7777777777777777,0.21382048905769221,0.08032823554268231,2.0719265023781523,2.071926502378152,2.0719265023781523,1,e20a8c1e9d372154feb5574eab806540f80fb2ce849a6c8035d35d44638d69d6,0,1,0.01818181818181818,0.01592356687898089,High congestion; offloading may increase latency.,deepseek-chat,1668.785207963083,deepseek-v4-flash,354,68,422,1,True
20,21,55,56,0.7787499999999999,0.7975,8.453698340917844,0.21382048905769221,0.11653170268859259,8.784050532664128,8.784050532664128,8.784050532664128,1,4f756d67f8d27415a3d20d6e8fabffcf1a671a3cb5f28efcaad4d753246fc542,0,1,0.01818181818181818,0.02406417112299465,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1586.6179170552641,deepseek-v4-flash,346,72,418,1,True
21,50,55,56,0.7787499999999999,0.7912499999999999,1.2777777777777777,0.21382048905769221,0.07498611978485514,1.566584386620325,1.566584386620325,1.566584386620325,1,4f111be3e5bb2161ba4bcc6246c1a6ee3b9efc031638bb376e73f65a2a3b6fa0,0,1,0.05,0.0125,High congestion; offloading may increase latency.,deepseek-chat,1170.899124990683,deepseek-v4-flash,352,59,411,1,True
