n_nodes,algorithm,trials,memory_violation_rate_simulated,mean_k_offload,capacity_gb_assumed,measurement_status
30,deepseek_best_response_psne,30,0.0,29.0,16.0,software_simulator_proxy_not_physical_oom
30,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
30,all_offload,30,0.0,30.0,16.0,software_simulator_proxy_not_physical_oom
30,random_p_0.5,30,0.0,15.433333333333334,16.0,software_simulator_proxy_not_physical_oom
30,greedy_local_information_only,30,0.0,29.0,16.0,software_simulator_proxy_not_physical_oom
40,deepseek_best_response_psne,30,0.0,36.0,16.0,software_simulator_proxy_not_physical_oom
40,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
40,all_offload,30,0.0,40.0,16.0,software_simulator_proxy_not_physical_oom
40,random_p_0.5,30,0.0,21.0,16.0,software_simulator_proxy_not_physical_oom
40,greedy_local_information_only,30,0.0,37.0,16.0,software_simulator_proxy_not_physical_oom
50,deepseek_best_response_psne,30,0.0,44.0,16.0,software_simulator_proxy_not_physical_oom
50,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
50,all_offload,30,0.0,50.0,16.0,software_simulator_proxy_not_physical_oom
50,random_p_0.5,30,0.0,24.333333333333332,16.0,software_simulator_proxy_not_physical_oom
50,greedy_local_information_only,30,0.0,47.0,16.0,software_simulator_proxy_not_physical_oom
60,deepseek_best_response_psne,30,0.0,52.0,16.0,software_simulator_proxy_not_physical_oom
60,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
60,all_offload,30,0.0,60.0,16.0,software_simulator_proxy_not_physical_oom
60,random_p_0.5,30,0.0,30.1,16.0,software_simulator_proxy_not_physical_oom
60,greedy_local_information_only,30,0.0,55.0,16.0,software_simulator_proxy_not_physical_oom
70,deepseek_best_response_psne,30,0.0,60.0,16.0,software_simulator_proxy_not_physical_oom
70,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
70,all_offload,30,0.0,70.0,16.0,software_simulator_proxy_not_physical_oom
70,random_p_0.5,30,0.0,34.8,16.0,software_simulator_proxy_not_physical_oom
70,greedy_local_information_only,30,0.0,64.0,16.0,software_simulator_proxy_not_physical_oom
80,deepseek_best_response_psne,30,0.0,66.0,16.0,software_simulator_proxy_not_physical_oom
80,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
80,all_offload,30,1.0,80.0,16.0,software_simulator_proxy_not_physical_oom
80,random_p_0.5,30,0.0,39.86666666666667,16.0,software_simulator_proxy_not_physical_oom
80,greedy_local_information_only,30,1.0,74.0,16.0,software_simulator_proxy_not_physical_oom
90,deepseek_best_response_psne,30,0.0,68.86666666666666,16.0,software_simulator_proxy_not_physical_oom
90,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
90,all_offload,30,1.0,90.0,16.0,software_simulator_proxy_not_physical_oom
90,random_p_0.5,30,0.0,46.2,16.0,software_simulator_proxy_not_physical_oom
