candidate_k,k_offload,offload_fraction,potential,system_total_cost_normalized,mean_energy_mj_per_task_simulated,queue_delay_ms_per_offloaded_task,mean_queue_delay_ms_per_task,vram_load_gb_simulated,vram_load_fraction,memory_violation_simulated,is_psne,pareto_nondominated
0,0,0.0,280.60009595208305,280.6,433080.0,0.0,0.0,0.0,0.0,0,0,1
1,1,0.01,279.14322711738157,279.14313116529854,426960.0022773437,213.07349264693124,2.1307349264693123,0.2,0.0125,0,0,1
2,2,0.02,277.7548861735338,277.7548058458178,421380.0044296876,213.08702781082295,4.261740556216459,0.4,0.025,0,0,1
3,3,0.03,276.43960490326685,276.4395564442821,415620.0068085937,213.10056469442463,6.393016940832738,0.6000000000000001,0.037500000000000006,0,0,1
4,4,0.04,275.18486959499705,275.1848700055731,410220.0091328125,213.11410329806395,8.524564131922558,0.8,0.05,0,0,1
5,5,0.05,274.08552648130694,274.08559368205624,405720.01122656255,213.1276436220689,10.656382181103444,1.0,0.0625,0,0,1
6,6,0.06,272.99251758579646,272.9926706122324,400860.01360546873,213.14118566676726,12.788471140006035,1.2000000000000002,0.07500000000000001,0,0,1
7,7,0.07,271.91358596112116,271.91384519640775,396180.0159257813,213.1547294324871,14.920831060274097,1.4,0.0875,0,0,1
8,8,0.08,270.840749628163,270.84113708035136,391500.0182578125,213.16827491955655,17.053461993564525,1.6,0.1,0,0,1
9,9,0.09,269.7821119260308,269.78265155784493,386820.0206171875,213.18182212830376,19.18636399154734,1.8,0.1125,0,0,1
10,10,0.1,268.7476819170454,268.74840003768793,382320.0229375,213.19537105905707,21.319537105905706,2.0,0.125,0,0,1
11,11,0.11,267.71327266900596,267.71419839910726,377820.02525781246,213.20892171214476,23.452981388335925,2.2,0.1375,0,0,1
12,12,0.12,266.69902179194924,266.7001876147147,373500.02753125,213.22247408789525,25.586696890547426,2.4000000000000004,0.15000000000000002,0,0,1
13,13,0.13,265.6869396615029,265.6883820753728,369000.02989453124,213.23602818663713,27.720683664262825,2.6,0.1625,0,0,1
14,14,0.14,264.71718073021935,264.7189410209997,364860.03216796875,213.2495840086989,29.854941761217848,2.8,0.175,0,0,1
15,15,0.15,263.7652976709186,263.76748021527425,351360.03432421875,213.26314155440934,31.9894712331614,3.0600000000000005,0.19125000000000003,0,0,1
16,16,0.16,262.8401618973796,262.8427762408469,347220.03668359376,213.2767008240972,34.12427213185555,3.2600000000000002,0.20375000000000001,0,0,1
17,17,0.17,261.93328777052454,261.9363983643627,343080.03897656244,213.29026181809127,36.25934450907552,3.46,0.21625,0,0,1
18,18,0.18,261.0405064685791,261.0441878051491,339120.04131249996,213.30382453672058,38.3946884166097,3.66,0.22875,0,0,1
19,19,0.19,260.1497869880847,260.15412545563163,335160.04365234374,213.31738898031406,40.530303906259675,3.8600000000000003,0.24125000000000002,0,0,1
20,20,0.2,259.28341490711216,259.28851097337133,331200.0460390625,213.3309551492009,42.66619102984018,4.0600000000000005,0.25375000000000003,0,0,1
21,21,0.21,258.43924835670254,258.4452191379831,326160.0483828125,213.34452304371024,44.80234983917915,4.26,0.26625,0,0,1
22,22,0.22,257.5951295271886,257.602111809153,322380.0507265625,213.3580926641713,46.938780386117685,4.46,0.27875,0,0,1
23,23,0.23,256.77298558428544,256.7811393717876,319140.05275390623,213.37166401091358,49.075482722510124,4.66,0.29125,0,0,1
24,24,0.24,255.9512603049547,255.96077299130138,315360.055140625,213.38523708426635,51.21245690022392,4.86,0.30375,0,0,1
25,25,0.25,255.14973675446186,255.16082801560302,311760.05748046876,213.39881188455922,53.349702971139806,5.0600000000000005,0.31625000000000003,0,0,1
26,26,0.26,254.35638863893786,254.36931617574893,308160.0598359375,213.41238841212183,55.48722098715168,5.260000000000001,0.32875000000000004,0,0,1
27,27,0.27,253.56919904091396,253.58426531329033,304560.062203125,213.42596666728375,57.625011000166616,5.460000000000001,0.34125000000000005,0,0,1
28,28,0.28,252.79210926845744,252.80966938889307,301140.06450390624,213.43954665037487,59.763073062104965,5.66,0.35375,0,0,1
29,29,0.29,252.01524261811358,252.035713600322,297540.066890625,213.45312836172502,61.901407224900254,5.86,0.36625,0,0,1
30,30,0.3,251.24647485359867,251.27034644420118,294120.0692070312,213.4667118016641,64.04001354049922,6.0600000000000005,0.37875000000000003,0,0,1
31,31,0.31,250.48196877112224,250.51059062162236,285480.0714453125,213.48029697052218,66.17889206086187,6.3,0.39375,0,0,1
32,32,0.32,249.72745018517472,249.76086685703066,282420.0736171875,213.49388386862933,68.31804283796139,6.5,0.40625,0,0,1
33,33,0.33,248.9833530636666,249.02238310850603,279180.0758945312,213.50747249631578,70.45746592378421,6.7,0.41875,0,0,1
34,34,0.34,248.2618549005381,248.30745918655535,275760.07830078126,213.52106285391184,72.59716137033004,6.9,0.43125,0,0,1
35,35,0.35,247.5689396495398,247.62224583478982,272340.08076171874,213.5346549417478,74.73712922961172,7.1000000000000005,0.44375000000000003,0,0,1
36,36,0.36,246.88211599509685,246.9444471246164,269280.0830625,213.54824876015414,76.87736955365548,7.300000000000001,0.45625000000000004,0,0,1
37,37,0.37,246.20165959407757,246.2745675049735,266220.085375,213.56184430946132,79.01788239450069,7.5,0.46875,0,0,1
38,38,0.38,245.5235599583391,245.6088642890981,263160.08769140625,213.57544159000008,81.15866780420004,7.700000000000001,0.48125000000000007,0,0,1
39,39,0.39,244.85596657409934,244.95580030467264,260100.09002734374,213.58904060210108,83.29972583481943,7.9,0.49375,0,0,1
40,40,0.4,244.1908305741299,244.30769317476572,257040.09236718752,213.602641346095,85.441056538438,8.100000000000001,0.5062500000000001,0,0,1
41,41,0.41,243.53631629128782,243.67313573401415,253980.0947265625,213.61624382231287,87.58265996714827,8.3,0.51875,0,0,1
42,42,0.42,242.88641755406496,243.0466226451042,250920.09709375002,213.6298480310855,89.7245361730559,8.5,0.53125,0,0,1
43,43,0.43,242.25336956338145,242.4409742921707,247860.0994921875,213.643453972744,91.86668520827992,8.700000000000001,0.5437500000000001,0,0,1
44,44,0.44,241.6217430142697,241.8414448904595,244440.10165625,213.65706164761949,94.00910712495258,8.9,0.55625,0,0,1
45,45,0.45,241.00231337188475,241.25960804183134,241560.1039921875,213.67067105604312,96.1518019752194,9.100000000000001,0.5687500000000001,0,0,1
46,46,0.46,240.38575785247392,240.6870726584373,238860.10624609372,213.6842821983463,98.2947698112393,9.3,0.58125,0,0,1
